0.6000,0.6939,0.7615,0.0190
0.0000,0.6618,1.7649,0.6525
0.6000,0.5068,0.6559,0.0642
0.4000,0.4297,1.7140,0.1203
0.8000,0.7628,0.7802,0.2238
0.6000,1.1565,1.7785,0.0246
0.8000,0.9867,0.7362,0.5352
0.8000,0.9695,1.8431,0.3709
0.2000,0.6818,0.6439,0.4156
0.6000,1.2017,1.6240,0.5289
0.8000,0.9209,0.6186,0.3270
0.0000,0.8151,1.8446,0.2938
0.2000,1.2663,0.8499,0.7736
0.6000,0.9738,2.0942,0.7094
0.0000,1.0153,0.6648,0.3166
0.2000,1.2929,1.6700,0.5399
0.4000,1.2403,0.6751,0.0742
0.0000,1.0820,1.7481,0.7838
0.2000,0.8947,0.6582,0.3537
0.0000,1.0091,1.5954,0.0373
0.8000,0.9832,0.6821,0.1956
0.8000,1.0032,1.6289,0.2877
0.2000,1.0658,0.6523,0.9880
0.4000,0.6718,1.7121,0.4903
0.8000,0.6711,0.6127,0.4235
0.0000,0.6254,1.8701,0.9161
0.0000,1.1072,0.7610,0.5821
0.4000,0.6257,1.8102,0.6555
0.4000,0.7957,0.7381,0.7126
0.0000,0.8271,1.8625,0.3843
0.4000,1.2075,0.7896,0.3575
0.4000,1.3538,1.7273,0.2918
0.8000,1.1950,0.7132,0.3782
0.8000,0.7971,1.6885,0.5017
0.4000,0.8951,0.8410,0.3482
0.4000,0.8892,1.7508,0.7148
0.8000,0.6631,0.9058,0.9017
0.4000,1.1547,1.8154,0.0243
0.8000,1.0714,0.7668,0.7634
0.2000,0.9200,1.6641,0.1186
0.0000,1.2117,0.8167,0.6722
0.8000,0.8775,1.6317,0.0032
0.8000,0.8878,0.6085,0.7923
0.4000,0.6950,1.8791,0.9942
0.8000,1.1825,0.7373,0.6478
0.8000,1.1076,1.6739,0.7793
0.0000,1.1991,0.7644,0.1848
0.4000,0.5166,1.8231,0.5968
0.2000,1.1319,0.7195,0.1455
0.8000,0.7480,1.8204,0.6379
